,summary
19,A seasoned technical professional currently learning the art and science of predictive and prescriptive analytics at Carnegie Mellon  have a keen interest in data driven decision making and believe that decision sciences will change the way business is conducted eeking opportunities to drive this disruptive change within data analytics ecosystem ach out to me at ankur urana03 gmail m if you want to discuss analytics or technology  
21,Experienced Data Scientist focused on developing viable solutions for high complexity business problems using statistics and machine learning  am a forward thinking person who is self motivated with a performance driven mentality and posses an aptitude for problem solving in a challenging environment  focused multitask er who is aimed to achieve organization excellence coupled with personal goals  and build critical competencies in business strategy to effectively prototype new ideas and drive the appropriate business solutions ills   Programming  Python  Java  Julia  Matlab  Octave Visual Basic  VBA   Unix commands  and html  Data base  MySQL  SQLite  PostgreSQL  OWL SPARQL RDF databases  MS Access Statistical software  R programming  SAS  Minitab  Optimization Solvers   log Cplex  Gurobi  Big Data​  Hadoop Map Reduce  STORM  High Performance Computing  HPC   Simulation   Risk  Arena Modeling  AnyLogic  Data Visualization  Tableau  G S software  Quantum G S  ArcG S  Product Knowledge  Decision tools  Excel  proficient with Macros implementation   AutoCAD  Technical Writing  Microsoft Word  Powerpoint  LaTeX   
25,  am a data scientist at Amazon m working on the seller misconduct team to identify and restrict bad actors from committing fraud on the Amazon platform  completed my graduate degree in the Analytics program at Georgia  nstitute of Technology y concentration of study at tech was Computational Data Analytics which focused on machine learning  big data applications  and statistical methods was first exposed to data analysis during my final year undergraduate project at   T  Roorkee uring my subsequent three years in the industry    worked on projects from diverse fields like supply chain optimization  marketing  insurance  and finance respectively  where   again leveraged data to assist decision making y graduate studies are centered towards further building my capabilities in the field of data science and learning about the latest techniques in artificial intelligence like deep learning he two most motivating factors for me in this area of study are 1 he versatility of skills ach and every industry is experiencing data driven innovation today and this is set to grow further   this includes societal causes like crime  hunger etc  The obsolescence of skills ue to the fast pace at which the research is progressing in the field  one must always be up to date with the best and latest techniques to maximize impact his brings along the promise and exciting challenge of perpetual learning   Outside the data world    enjoy hiking  reading  fine arts and everything basketball  love making professional connections to share ideas and experiences lease feel free to connect with me at mishra arjun hotmail m   
28,Data Scientist w  5 years research experience   
31,Experienced Data Scientist with a demonstrated history of working in the information technology and services industry killed in Data Science  Analytic  Mobile Applications   T Strategy  SharePoint and SAP trong information technology professional with a Bachelor’s Degree focused in Biomedical Medical Engineering from Marquette University  
32,Data Science and Machine Learning professional nterested in Big Data and High Performance        Computing  particularly with Business  ntelligence initiatives   
33, mpact driven data scientist with experience in R  SQL  Python  experimentation  traditional A B testing and custom experimental designs   causal inference  statistical learning  ETL  time series forecasting  and business recommendation focused  data analysis omain agnostic  but particularly enjoy working on growth teams  accelerating growth through creative strategies  product innovation  data driven insights and rigorous experimentation ove that   get to flex my creative thinking  business judgment  product sense  coding and communication skills all in one job       
34,Undergraduate   Bachelor Software Engineering   MathematicsPostgraduate   PhD Data Science Machine LearningMy skill set shows extensive experience in C   Java programming  have strong background in mathematics programming  studying software engineering and mathematics as an undergraduate developed further in PhD  have voluntarily undertaken very large personal projects as well as undertaken various work experience projects  have excellent creative problem solving skills and a history in applying novel solution techniques to different areas  resulting in patents and publications ain areas of expertise include machine learning techniques that can be applied to large data sets  
35,Experienced and enthusiastic data guru interested in developing data driven insights to impact business decisions Specialties  MsSQL MySQL  Hive  Hadoop  Spark  Python  R  ETL Data        warehousing SS S SSRS SSAS   SAS   PHP HTML XML Javascript  Tableau  SpotFire  Looker   
37,Data Scientist at Airbnb  focusing on growing China business  
38, 2 years of working experience in applying data science techniques to solve business problems in  ndustrial  nternet of Things    oT   E  Learning  and Business Analytics industries  Extensive experience in leading and contributing to customer projects in Predictive Maintenance and drive customer success with high quality predictive analytics solutions by leveraging technologies and open source tools  Strong skills in Statistics  machine learning  data mining  predictive analytics  Rich hands on experience in analyzing large volume of data to retrieve actionable insights  SQL  R  caret  e1071  ggplot2  shiny  etc  Python  sci kit learn  pandas  nltk   Python  NumPy  SciPy  PySpark   MATLAB  SAS  A passionate  result oriented individual with the ability to work independently and collaboratively with cross functional teams  Actively learning Spark  Hadoop  and deep learning via MOOC   
40,      Extensive modeling experience in fraud detection  credit risk management and chargeback re presentment and labeling  plus three year data mining research experience   Thorough knowledge on machine learning models  Decision Trees  Random Forest  Gradient Boosting Machine  XGBoost  Regularized Linear Regression  Logistic Regression  Naïve Bayes  LDA  k NN  Support Vector Machine  Hierarchical Clustering  k means  etc  Solid understanding of  bias variance tradeoff  curse of dimensionality  overfitting  ensemble  boosting  etc  CL  based programming skills in  Python  R  SQL  Hive  Matlab  Java  bash  Powershell   Three years use of data science packages on a daily basis  Pandas  scikit learn  NumPy  SciPy  Caret   Extensive experience in static and interactive data visualization  Matplotlib  Seaborn  Plotly  Dash  Tableau    Basic grasp of  Pig  Sqoop   mpala  Scala  TableauBlog                        s   czong rdpress m Github                     s   github m czongGoogle Scholar       s   scholar ogle m citations?user=gEoq71cAAAAJ&hl=enKaggle                    s     ggle m czong1   
41,  am an experienced Data Scientist with a background in engineering and research  am passionate about understanding user behavior and preferences  and delivering those insights to business partners such that they can best serve their customers uent  Python  Pandas  scikit learn   R  PySpark  PostgreSQL  Bash Programming miliar  Tableau  AWS  EC2  EMR  Redshift  and S3   SAS  certified   HTML  CSS  D3   NoSQL  Hive   
42,A Machine Learning enthusiast interested in taking help of algorithms to understand and explore data for Predictive Analytics lumnus of Rutgers University with broad research experiences ranging from modeling of brain data in the field of Neuroscience to developing a Computer Vision algorithm to automate monitoring in the field of Transportation Safety lso a software engineer  certified mobile app developer and a capable designer uTube Channel  youtube m c DeepGamingA Google Scholar  Page   s   goo  fsBcaS   
43,  Work with large transactional volumes  terabyte size  from multiple sources and understand businesscontext Extraction  Transform and Load data from different sources such as Hive   mpala  Redshift  Oracle andTeradata Develop and implement scalable models  analyzing transactional datasets in order to generate predictionsand insights to understand better transactional behaviors of every customer  Models using R and Python  Reporting and visualization using R and Tableau Team work with business areas in order to understand their problems or objectives and find the best strategy through analyzing data and machine learning models Business intelligence for credit products such as pricing for credit cards and monetization for games  
44,  am a computational topologist geometer interested in the use of theoretical topology and geometry to extend existing statistical frameworks  GLMs  survival analysis  factor analysis structural equation models  hypothesis tests  Bayesian adaptive trial designs   machine learning methods  graph network analytics  and partial differential equation models of biological industrial systems hese more general models allow for more flexible modeling and can accommodate diverse data structures f there s an obscure mathematical theory that can solve a pressing problem    ll find it and figure out how to leverage it in an analytics problem am also an author poet  and my work can be found here  amazon m author colleenmfarrelly   
45,Recent graduate student of Worcester Polytechnic  nstitute  currently working as a Data Scientist        focusing on B  solutions for Behavioral Healthcare providers   
46,Recently graduated artificial intelligence postgraduate student with experience building        production level machine learning and analytics systems   
47,  ve been solving business problems for almost a decade ow   get to solve them with Data Transitioning from 5  years in project management into a technical role nterested in bringing a quantitative education and deep business experience to a data science role roven ability to deliver on a timeline and drive complex multi stakeholder projects   
48,Experienced Data Scientist with a demonstrated history of working in the information technology and services industry killed in Python  SQL  Web Applications  and Data Analysis trong problem solving and solution designing professional with a Doctor of Philosophy  PhD  in Physics  focused in Cosmology  from University of California   rvine   
50,An exceptional problem solver and highly initiative individual actively seeking full time opportunities rk experience with data analysis  statistical modeling  quantitative finance and performance marketing Proficient in SQL  R  SAS  Excel VBA  Matlab and Unix LinuxRich experience in web application  R Shiny   data visualization  Tableau Google Earth  and U  UXSolid knowledge of data mining and machine learning algorithms Strong oral and written communication skills allow for conveying technical content to non technical clientsE mail  dl2857 columbia m   
53,My areas of expertise are  pricing and revenue optimization  machine learning  reinforcement learning         experimentation   
54,  have a passionate curiosity and drive for solving problems through data and science am currently a senior data scientist for the largest online travel agency for the Caribbean and Mexico am also working with on a project to develop machine learning algorithms that provides rating  scoring and explaining impact of sustainable  renewable energy infrastructure development at the speed  accuracy and scale necessary to realize the transition to a low carbon economy s part of this sustainability project    am developing methods to predict the reduction of poverty and other sustainable development goals using satellite imagery  utilizing deep learning   convolutional neural networks and transfer learning   am utilizing Google static maps AP   R  Python  Docker and the Deep Learning framework  Caffe have been working on an independent project to predict stock returns using machine learning algorithms  including random forest  xgboost  and catboost   and have been able to achieve an annualized return of ~1800% on the S&P 500  give you a little bit of background about myself    have a doctorate in Biochemistry from Oxford University  in structural biology  protein NMR  and computational biology bioinformatics   and a BS in Mechanical Engineering from the University Of Maryland  College Park   also was a Post Doc in Biochemistry at UCLA  structural biology protein NMR and computational biology bioinformatics  y doctoral and post doctoral research was all computational in nature  extensive data analysis  data visualization and utilization of machine learning algorithms to solve biological problems  *******************************************Please contact me at davidmichaelcomfort gmail m   
55,Proven experienced data scientist and team leader with advanced Hadoop SQL SAS skills  over eight years of experience delivering best practice business analytics capabilities especially in CRM Marketing Brand area in top worldwide social network and e commerce companies killed in seeing big picture and effectively take projects from concept to implementation reat ability to manage team members to work as a team to deliver big projects ecialties   Data Manipulation  Hadoop Pig Hive   Teradata SQL  SQL Server  Unix Shell  SAS  Data Mining  linear and logistic regressions  decision trees  clustering  Statistical Analysis  experimental design  segmentations  multivariate test  predictive models  Business  ntelligence  Tableau  SAS   
56,  Ph  in theoretical high energy physics  Current experience focused on data science   Experience in mathematical modelling and software and various programming languages Undergraduate and graduate teaching experience in classroom and laboratory settings  Experience in computational physics and numerical simulation Effective communication skills for complex subjects  demonstrated via seminar presentations  scientific and outreach writing and teaching tutoring Bilingual English and French speaker  
58,Data scientist adept at working with ambiguity and defining problems from informal business objectives ill tune out all else when given interesting data sets to look at & challenging problems to        consider nterests include predictive modeling  natural language processing  and algorithmic bias      
59,  have a passion for telling stories through data  for building tools  for creating custom interactive visualizations  and for learning new concepts  believe big data needn t be impersonal  instead  analyzing it should provide a means to discover microcosmic trends and nuances as they pertain to individuals  m particularly fascinated with tech as it applies to the spheres of music  advertising  history  language  and health  and   am mainly self taught in Python Pandas  R  Shiny   SQL  Flask  HTML CSS  D3   and PySpark  
62,Solid math and statistics background   Hands on experience in data analysis large scale data   statistical modeling  ML  NLP  experiment design  A B testing   Diverse industry experience   T         Consulting  CRO  digital marketing and research lab   Tools  Python  R  SQL  SAS  Excel VBA  Tableau  
64,Experienced Data Scientist with a demonstrated history of working in the internet & financial service industry killed in Credit Risk Management   Fraud Detection  Machine Learning and Optimization trong research professional with a Master s degrees focused in Operations Research from Columbia University and  in Computer Science from Georgia  nstitute of Technology   
65,Data scientist with a passion for using statistics and machine learning to solve complex problems and deliver valuable insights from data nthusiastic about explaining the value of data driven analytics to        non technical users  a data science evangelist   
66,Wrote the book   A Collection of Data Science Take Home Challenges   modeled after real DS job interview takehome challenges f you are about to interview and need some practice  you might want        to check it out here      datamasked m   
67,■  Strong 2 years of experience research internship academic projects  in Predictive modeling  Machine learning  Data Mining  Statistics and Visualization  2 years of data analysis programming experience in R SAS  iPython  SQL and Java  2 years of big data technology experience in Hadoop xperience in Elasticsearch and AWS cloudtools   EC2 S3 EMR  2 years of data visualization experience in Tableau  R R Shiny  QG S  Kibana and Python  7 years of work experience in automation and creating deploying knowledge driven applica tions tools in an enterprise setup  4 Years of work experience in large enterprise system performance analysis and cloud work flowautomation esearch work experience in VMWare  Hyper V and v App■  1 year Executive Business Management experience  Published 3  nternational research journals in Predictive analytics   Crime analytics using spatiotemporal correlation chine learning   Abnormal behavior detection in a virtual mobile cloud infrastructure loud computing & security   Erasure coding for secure system  
68, nquisitive  applied research professional Data Scientist with a reputation for systematically addressing complex data challenges   in the areas of development  operations  and business intelligence Articulate communicator with client facing and cross functional team experience Machine Learning engineer building expertise in deep learning  artificial intelligence  and scalability eas of  nterest    Specialization in   Deep Learning    Optimization         Computer Vision         Human computer  nteraction          nternet of Things [  oT ]   and Parallel Computing   
69,Data scientist who is passionate about solving human problems through data  coding and business savvy xperienced business and technical leader with a proven track record of driving both        early stage growth and transformation of products  people and lines of business at established orga     
70,Cloudera certified  data science  since 2013   
71,Trained as an industrial engineer  pursuit a research career in geometric modeling & computer vision  and then switched to using data as a mean to mine  understand  and visualize data of online communities  multi disciplinary with a deep passion for knowledge  research  and innovation  consider myself a constant learner and a truth seeker  who likes to push his own boundaries with new adventures and career opportunities  value the people and the teams that   work with first  because   believe with the right team  and good trust & communication any goal can be achieved  
73,Data driven  results oriented  expert at business solutions iven by data analytics and predictions  captivated by complex financial unstructured  unlabeled  multiclass data sets  able to leverage NLP and machine learning techniques to find meaningful results ossess in depth software engineering knowledge and an ability to utilize mining massive data sets for exploration and analytics ersistent for effective results  able to fine tune unsupervised learning and clustering models to find anomalies in datacenter cyber security data sets riven for completeness and proficient in producing reproducible research results  able to produce comprehensive reports summarizing findings from statistical and mathematical modeling with visualization  
74,Data Scientist Blogger NBA Hackathon Winner   
75,Algorithms Developer with expertise in working with high dimensional data including images and unbalanced datasets with exposure in Big Data Technologies and Architecture s a Data Scientist    create and implement algorithms that transforms hurdles faced in the field of big data using powerful cutting edge technologies and tools like machine learning  pattern recognition and visual analytics ecialties   Pattern Recognition  Visual Analytics  Machine Learning  Feature Engineering  Data Science  Big Data   
77,Han Fang is currently a Data Scientist in the  nfrastructure Strategy group at Facebook e focuses on scaling Facebook s core infrastructure using machine learning and data science ince joining the        team  Han has also developed machine learning models on geo spatial data at a global scale and gra     
78,Data Scientist with hands on experiences in product analytics  analytical reporting  predictive        modeling  and statistical consulting   
79,  am a data scientist  passionate about big data geospatial data mining  text ming  machine learning spatial analysis and deep learning    Languages  Python  pandas  geopandas  pyspark   SQL  R  Matlab Octave  Mathematica   Machines learning  sklearn  MLlib               Supervised  collaborative content filtering recommenders  regression  classification  time series analysis           Unsupervised  clustering  PCA  associate rule learning           Hypothesis testing  A B testing  bootstrap and Bayesian Statistics   Geospatial data mining  spatial autocorrelation and regression    Big data tools  AWS EC2  Spark  S3  Hadoop HDFS  Kafka  Spark Streaming MLlib SQL   Natural language processing  sentiment analysis  LDA and Hidden Markov model   Deep learning  Convolutional neural network   image recognition and object detection  recurrent neural network    Database  Crate  Cassandra  PostgreSQL   Distributed computing  MapReduce  MP  and OpenMP   U  tool  Flask  Javascript  html and google data studio thub   s   github m HsiangHung og          ipleh   My academic background is computational physics material science  am proficient in integrating numerical skills  such as stochastic sampling  quantum Monte Carlo   and optimization techniques  dynamical mean field theory  numerical renormalization  into high performance computing to solve large scale problems  
81,Data Scientist leveraging quantitative background to discover and extract actionable insights from complex datasets and build value adding  data driven productsSpecialties  Python  R  Data Mining  Machine Learning  Predictive Modeling  Deep Learning  Computer Vision  also write about Data Science education and other data related topics    s   datasciencebootcamps m        yet another data blog ogspot m    
82,Online and Pipeline Analytical Data Processing trong focus on R and Python Statistical Analysis with ML techniques in challenging environments ina has extensive experience in the data industry er years of working with data has given her key insights and development in understanding it s manifold applications in multiple industries ina is currently focused on  analyzing stream  unsupervised data   ML algorithmic and quantitative analysis measurements dustriesFood   Medical   Sport   Marketing   Hardware  
83,Experienced quantitative researcher proficient in data munging  machine learning and statistics  NLP  and data visualization xperience working with Python  sklearn  statsmodels  BeautifulSoup   R  SQL and NoSQL  MongoDB   d3   Qlikview and Tableau  utilizing Spark and Hadoop on AWS instances for data analysis at scale gnificant writing and editing experience  2 published papers  one cited by the Congressional Research Service  luent in Russian with a working knowledge of French  German and Spanish  
84,Solving puzzles to help others  could there be a better job?   ve always loved puzzles and for me the puzzle pieces are data  love collecting the data  sorting through and connecting the data  and finally constructing a model out of that data to be used for solving the problem at hand ata science has given me the framework to pragmatically apply my math and science skills to puzzles in a wide range of fields hether it s marketing models or semi conductor research  there is data and there is the potential to use that data for overcoming obstacles t’s always been about the data n the past  ’ve worked as a scientist and engineer to solve problems mostly at the lab bench  but the experiments and solutions have always been driven by data  used data to define the problem  form a hypothesis  and design the experiments hen the data collected from the experiments was used to build a model  make predictions  and inspire future experiments hile   loved my time in the lab    ve recently decided to apply my efforts towards larger puzzles found in Data Science eyond on data  exceptional communication is a strength of mine fter earning my Masters Degree    taught community college algebra because   enjoy helping students understand something they previously thought was beyond their grasp  m a firm believer of knowing complex ideas deep enough to be able to explain them to both technical and non technical audiences eaching also turned out to be a great way to enhance my listening skills earing and really understanding what students are confused about and what they are asking you to explain further takes patience and receptiveness  path into data science has been winding  mostly due to following my husband for his career and taking a moment to stay home with my kids  but now that we ve settled in Colorado   have the freedom to take my career towards doing what   love    solving data puzzles ww clynkokx m   
86,Goal oriented  self driven and passionate learner with research and industry experience in machine learning  social media mining  feature representation and software engineering rrently working as a Data Scientist at Spark Cognition rked at  nsight Data Science as an Artificial  ntelligence fellow  working on developing A  based solutions for business models using deep learning rsued Masters in Computer Science at Arizona State University  specializing and working as a Graduate Research Assistant in human computer interaction  machine learning  social media mining and feature representation rior industry work is in the field of web development  large scale database designing and data mining and analysis  academic knowledge  past experience and current research provide me with a holistic view of technology integration and optimized solution design  
87,Engineer  scientist  and analyst with more than a decade of professional experience in automating data wrangling and analysis  coding  simulation  modeling  data acquisition  testing  and instrumentation pecialties  Automating data processing and analysis  simulation  and modeling using Python  SQL NoSQL  REST AP s   Python Jupyter  Mathematica  MATLAB  C  LabV EW  etc  
88,  am passionate about solving real world problems using data y  nterests include Deep Learning         Natural Language Processing  NLP   and Machine Learning   
89,Experienced Quantitative Analyst with a demonstrated history of working in the internet industry killed in Microsoft Excel  Stata  Microsoft Word  Data Analysis  and Data Science trong finance        professional with a Master’s Degree focused in Statistics from Harvard University   
91,Perseverance  secret of all triumphs   
93,  reh   
94,  took a roundabout way to get here  via a detour through a PhD in astrophysics   but   m so glad to have found a career in Data Science   ve always had an interest in all things data  and   honed my skills in graduate school using sophisticated data modeling techniques to find black holes and dark matter in nearby galaxies Nowadays    work as a  full stack  Data Scientist  equally comfortable writing production code or standing up a quick interactive demo to show off some cool new modeling results  
95,Big Data Scientist with over 40 years of experience urrently consultant to a several organizations         corporations and the government   
96,   Summary of Expertise    1 Customer Analytics 2 Business Analytics Problem Frameworking 3 Statistical Learning Models 4 Data Mining Models 5 Mathematical Programming 6 Natural Language Processing 7 Epidemiological Research 8 Experimental and Quasi Experimental Designs 9 Reliability Analytics     Technical Skills   Big Data — Google Cloud Service  Spark  Hadoop  Java  Pig  Mahout  Hive  Amazon Web ServiceStatistical modeling & Data Mining — R  Rcpp  Python  SASText   NLP — Python  NLTK  SentiWordNet   Java  Lucene  Solr Stanford NLP   R  tm Data Management — SQL  Python  Java  Scala  PostG SData Visualization — D3  HighCharts  JavaScript  jQuery  Vega  R  Tableau   
97,  worked on different engineering and data science projects in the retail  higher education  and technology industries at traditional and startup companies  m currently looking for my next role s  use machine learning algorithms in both supervised  Regression Lasso  Neural Networks  etc and unsupervised implementations ssociation  Clustering  etc   m also experienced with scientific lab work at the Texas Engineering Experiment Station  TEES   primarily in the biological sciences and materials science fields also manage the social media and content on   stinStartups m    a community of people in the Austin startup ecosystem  
98,21 years progressive data science experience in electronic manufacturing quality  marketing  and        operations using statistics  machine learning  and optimization   
99,Positive  solution oriented Masters in Computer Science candidate with broad technical capabilities and solid work ethic reative  tenacious  reliable team member  leader with strong communications        and time management skills orking as Data Scientist  looking for Full time position   
100,Kang Huang graduates from Carnegie Mellon University urrently  he is a data scientist at the Boeing Company dedicating building deep learning models for NLP or computer vision related projects e also participated in building and optimizing machine learning pipeline or the life  he likes singing  sport and playing Overwatch   
101, s   medium m  kangeugine  
102,Data Scientist with a Physics PhD nterested in using my passion  skillset  research and learning abilities to shed light and tackle important problems killed in customer segmentation  topic modeling         NLP   and exploratory data analysis and visualization   
104,Combining a love for numbers  a passion for empowering people with information  and the desire for simplicity in human centered software    intend to grow data savvy organizations using data science  ve worked in analytical roles within NYC based startups  and consulted for Fortune 500 companies in Banking &  nsurance urrently    m a data scientist at AbleTo  a VC backed NYC based behavioral health technology company where   apply Machine Learning to Healthcare pecialities  Machine Learning  Natural Language Processing  Database Management  Visualization  Statistics  Business Analytics  Operations Research  Data Engineering  Technical Communication  R  Python  SQL  Looker  GitContact  nformation  kaushikrpamulaparthy gmail m  email   917 683 0679  mobile    
